B1,B2,B3,Cloud_Cover,Cloud_Cover_Land,Image_ID,Image_Quality_OLI,Image_Quality_TIRS,MNDWI,NDBI,NDVI,QA_PIXEL,Timestamp,.geo
12144,10951,10294,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0930796000176203,-0.1973216018632335,0.343374587159293,22080,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
12587,11439,10424,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1314780869855024,-0.2699513480095691,0.4402072854747751,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10999,9750,8783,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0448588983742047,-0.3003204194581998,0.421656050955414,23888,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11530,10272,9339,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1487170138097625,-0.2980169340463458,0.4935264709652608,23826,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10951,9742,8619,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0904869941434073,-0.2835055120293975,0.4334275426845793,23888,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10986,9720,8645,67.47,67.47,LC09_230062_20230206,9.0,9.0,0.05969600392253,-0.0868400690435093,0.0861289555079704,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11924,10718,10605,67.47,67.47,LC09_230062_20230206,9.0,9.0,0.132286995515695,-0.0473008616142078,-0.0879019908116385,21890,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13644,12489,12022,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1436407023542401,-0.2425636307881018,0.4346097281987036,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10829,9658,9077,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1830618306183062,-0.267463568224247,0.4985833827502141,21824,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11912,10721,10515,67.47,67.47,LC09_230062_20230206,9.0,9.0,0.1199275748215997,-0.0380675203725261,-0.0565518700735333,23826,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10828,9615,8735,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1836448598130841,-0.2387678437265214,0.4707771355170199,21824,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10972,9968,9151,67.47,67.47,LC09_230062_20230206,9.0,9.0,0.2692094313453537,-0.1217601466788899,-0.1594854502310478,21952,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13786,13087,12072,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1009160646458628,-0.0256410256410256,0.1396345259457282,21824,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11685,10644,9248,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0830854650009914,-0.2635588364175683,0.3976882923191648,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
12267,11241,10308,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1285454622310521,-0.2602382931559989,0.4240270515670497,21762,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
12061,10987,10152,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1475354773700562,-0.2537745379091927,0.4526761989118056,21824,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11160,9795,8507,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0132807516093487,-0.2914267174953362,0.3748974569319114,23826,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
